"NAME";"PID";"STATE";"PARENT ID";"PRIORITY";"USER ID";"MEMORY (KB)";"CPU TIME";"NICE VALUE"
"at-spi2-registr";"1588";"S";"1411";"20";"1000";"8472";"0ns";"0"
"xdg-desktop-por";"1589";"S";"1411";"20";"1000";"12456";"0ns";"0"
"openbox";"1592";"S";"1432";"20";"1000";"35124";"0ns";"0"
"xdg-document-po";"1600";"S";"1411";"20";"1000";"7680";"0ns";"0"
"xdg-permission-";"1603";"S";"1411";"20";"1000";"6380";"0ns";"0"
"fusermount3";"1610";"S";"1600";"20";"0";"1004";"0ns";"0"
"xdg-desktop-por";"1616";"S";"1411";"20";"1000";"110740";"0ns";"0"
"nm-applet";"1631";"S";"1432";"20";"1000";"53464";"0ns";"0"
"agent";"1635";"S";"1432";"20";"1000";"5400";"0ns";"0"
"pcmanfm-qt";"1642";"S";"1432";"20";"1000";"131424";"0ns";"0"
"lxqt-globalkeys";"1643";"S";"1432";"20";"1000";"32968";"0ns";"0"
"lxqt-notificati";"1644";"S";"1432";"20";"1000";"92368";"0ns";"0"
"lxqt-panel";"1645";"S";"1432";"20";"1000";"145700";"0ns";"0"
"lxqt-policykit-";"1646";"S";"1432";"20";"1000";"33468";"0ns";"0"
"lxqt-runner";"1647";"S";"1432";"20";"1000";"50340";"0ns";"0"
"xscreensaver";"1649";"S";"1432";"20";"1000";"7296";"0ns";"0"
"applet.py";"1653";"S";"1432";"20";"1000";"31056";"0ns";"0"
"lubuntu-upg-not";"1680";"S";"1432";"20";"1000";"960";"0ns";"0"
"xscreensaver-sy";"1696";"S";"1649";"30";"1000";"3152";"0ns";"10"
"gvfsd-trash";"1705";"S";"1518";"20";"1000";"8480";"0ns";"0"
"ibus-engine-sim";"1713";"S";"1512";"20";"1000";"7100";"0ns";"0"
"gnome-keyring-d";"1731";"S";"1411";"20";"1000";"7592";"0ns";"0"
"upowerd";"1744";"S";"1";"20";"0";"9552";"0ns";"0"
"gvfs-udisks2-vo";"1749";"S";"1411";"20";"1000";"9800";"0ns";"0"
"gvfs-goa-volume";"1754";"S";"1411";"20";"1000";"6752";"0ns";"0"
"gvfs-afc-volume";"1758";"S";"1411";"20";"1000";"8280";"0ns";"0"
"gvfs-gphoto2-vo";"1763";"S";"1411";"20";"1000";"7088";"0ns";"0"
"gvfs-mtp-volume";"1767";"S";"1411";"20";"1000";"6636";"0ns";"0"
"lxqt-powermanag";"1815";"S";"1432";"20";"1000";"62864";"0ns";"0"
"qlipper";"1817";"S";"1432";"20";"1000";"96180";"0ns";"0"
"nm-tray";"1819";"S";"1432";"20";"1000";"94432";"0ns";"0"
"sleep";"1896";"S";"1680";"20";"1000";"996";"0ns";"0"
"chrome";"1965";"S";"1642";"20";"1000";"377948";"36s";"0"
"cat";"1969";"S";"1965";"20";"1000";"1012";"0ns";"0"
